#{"t_start": 1651225399.1903021, "env_id": "PandaPickAndPlaceBarrier-v1"}
r,l,t,is_success
-50.0,50,6.073834,0.0
-50.0,50,6.231319,0.0
-50.0,50,8.664463,0.0
-50.0,50,11.046007,0.0
-50.0,50,13.315402,0.0
-50.0,50,15.718767,0.0
-50.0,50,17.908634,0.0
-49.0,50,20.169667,1.0
-12.0,50,22.443725,1.0
-50.0,50,24.725085,0.0
-50.0,50,26.876782,0.0
-50.0,50,29.26193,0.0
-50.0,50,31.431747,0.0
-50.0,50,33.687054,0.0
-50.0,50,35.89314,0.0
-50.0,50,38.07837,0.0
-50.0,50,40.381508,0.0
-12.0,50,42.804292,1.0
-50.0,50,44.947585,0.0
-44.0,50,47.332711,0.0
-50.0,50,49.7114,0.0
-18.0,50,52.074502,1.0
-50.0,50,54.452842,0.0
-50.0,50,56.680626,0.0
-50.0,50,58.8828,0.0
-50.0,50,61.164676,0.0
-50.0,50,63.583859,0.0
-50.0,50,65.797967,0.0
-50.0,50,68.144409,0.0
-50.0,50,70.498482,0.0
-50.0,50,72.857373,0.0
-50.0,50,75.263475,0.0
-12.0,50,77.661916,1.0
-47.0,50,79.900563,0.0
-50.0,50,82.19582,0.0
-50.0,50,84.49592,0.0
-50.0,50,86.708905,0.0
-50.0,50,89.015941,0.0
-50.0,50,91.45017,0.0
-50.0,50,93.850532,0.0
-50.0,50,96.132777,0.0
-50.0,50,98.450656,0.0
-50.0,50,100.795021,0.0
-50.0,50,102.995402,0.0
-13.0,50,105.351012,1.0
-50.0,50,107.691953,0.0
-50.0,50,109.916489,0.0
-50.0,50,112.162149,0.0
-50.0,50,114.18132,0.0
-50.0,50,116.568117,0.0
-50.0,50,118.750935,0.0
-50.0,50,121.121206,0.0
-23.0,50,123.386676,0.0
-50.0,50,125.772054,0.0
-50.0,50,128.234895,0.0
-50.0,50,130.615392,0.0
-50.0,50,132.995191,0.0
-42.0,50,135.365705,0.0
-50.0,50,137.66634,0.0
-50.0,50,140.022751,0.0
-50.0,50,142.8214,0.0
-50.0,50,145.156876,0.0
-38.0,50,147.362307,0.0
-50.0,50,149.595356,0.0
-50.0,50,151.882698,0.0
-50.0,50,154.050836,0.0
-50.0,50,156.365797,0.0
-50.0,50,158.573931,0.0
-20.0,50,161.047441,0.0
-13.0,50,163.395872,1.0
-43.0,50,165.682002,0.0
-50.0,50,167.935628,0.0
-38.0,50,170.290703,0.0
-50.0,50,172.516792,0.0
-50.0,50,174.939606,0.0
-50.0,50,177.335987,0.0
-50.0,50,179.569129,0.0
-50.0,50,182.010198,0.0
-50.0,50,184.272781,0.0
-15.0,50,186.715995,1.0
-50.0,50,189.084769,0.0
-50.0,50,191.571801,0.0
-42.0,50,193.98859,0.0
-50.0,50,196.224078,0.0
-50.0,50,198.645197,0.0
-50.0,50,201.100287,0.0
-50.0,50,203.536131,0.0
-50.0,50,205.893111,0.0
-50.0,50,208.114864,0.0
-50.0,50,210.41935,0.0
-50.0,50,212.782477,0.0
-50.0,50,215.12831,0.0
-50.0,50,217.483229,0.0
-50.0,50,219.886666,0.0
-50.0,50,222.346408,0.0
-50.0,50,224.836393,0.0
-50.0,50,227.187353,0.0
-50.0,50,229.57607,0.0
-50.0,50,231.66632,0.0
-50.0,50,234.168504,0.0
-50.0,50,236.547039,0.0
-50.0,50,239.029295,0.0
-50.0,50,241.370599,0.0
-50.0,50,243.848886,0.0
-50.0,50,246.231109,0.0
-50.0,50,248.692643,0.0
-38.0,50,251.066843,0.0
-50.0,50,253.451081,0.0
-11.0,50,255.931475,1.0
-50.0,50,258.42781,0.0
-24.0,50,260.833416,1.0
-50.0,50,263.152682,0.0
-50.0,50,265.573027,0.0
-50.0,50,267.901338,0.0
-50.0,50,270.183565,0.0
-50.0,50,272.510703,0.0
-49.0,50,274.998809,0.0
-50.0,50,277.458692,0.0
-50.0,50,279.763753,0.0
-50.0,50,282.111975,0.0
-50.0,50,284.277451,0.0
-50.0,50,286.556242,0.0
-50.0,50,289.035664,0.0
-50.0,50,291.464467,0.0
-50.0,50,293.78467,0.0
-50.0,50,296.155502,0.0
-50.0,50,298.602612,0.0
-50.0,50,301.052828,0.0
